rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
108,University of St Andrews,56.5,43.2,43.8,76.6,38.9,86.3,"8,338",12.7,0.47,2013
109,University of Helsinki,56.4,42.8,53,77.7,31.1,48.3,"23,505",15.1,0.06,2013
110,Trinity College Dublin,56.2,41.9,33.5,88.1,32.8,84.5,"15,521",18,0.25,2013
110,University of Sheffield,56.2,49.5,46.2,71,41.5,68.1,"23,311",15.5,0.31,2013
110,University of Sussex,56.2,34.9,39.5,91.1,32.1,76.7,"12,001",17.4,0.35,2013
113,University of Cape Town,55.8,34.7,45.5,79.7,87.3,75.1,"20,040",12.1,0.18,2013
114,Eindhoven University of Technology,55.6,44.1,51.8,63.8,100,69.8,"8,176",16,0.14,2013
115,Maastricht University,55.5,39.7,53.2,62.5,99.1,85.2,"15,626",18.9,0.48,2013
116,Aarhus University,55.3,35.7,54.6,71.6,69.7,66.4,"23,895",13.6,0.14,2013
117,Stockholm University,55.2,31.3,43.8,93,32,52.2,"31,715",23.7,0.08,2013
118,University of Virginia,55,55.9,43,73.5,48.6,27.9,"23,845",10.2,0.12,2013
119,"Royal Holloway, University of London",54.9,30.5,27.7,99,31.9,92.5,"8,747",15.9,0.37,2013
120,University of Nottingham,54.8,48.1,50.8,62.8,38.3,70.1,"30,144",15,0.27,2013
121,University of Alberta,54.7,50.9,53.9,56.6,50.6,67.6,"36,299",21.6,0.23,2013
122,"University of California, Santa Cruz",54.5,32.1,39.6,99.9,-,32.5,"17,404",22.7,0.01,2013
122,University of Florida,54.5,52,62.9,56,-,31.2,"50,095",18.7,0.09,2013
124,Chinese University of Hong Kong,54.4,53.7,63.1,45.1,44.5,62.6,"17,916",10.2,0.22,2013
124,Dartmouth College,54.4,47.5,35.9,87,38.6,31.5,"6,178",6.6,0.16,2013
124,University of Warwick,54.4,48.9,50.5,58.8,35.3,80.9,"18,529",16.6,0.37,2013
127,Radboud University Nijmegen,54,35.7,54.3,73.3,41.7,53.4,"17,713",13,0.10,2013
128,Free University of Berlin,53.7,53.1,56.5,51.5,32.8,60.9,"33,062",39.3,0.20,2013
128,Tokyo Institute of Technology,53.7,58,56.1,52,65.3,29.6,"9,586",7.3,0.13,2013
130,University of Copenhagen,53.6,42.2,40.4,74.3,39.7,73.5,"27,545",4.1,0.19,2013
130,University of Lausanne,53.6,33,44.8,76.2,45.8,82.7,"11,964",13.1,0.22,2013
130,University of Southampton,53.6,37.9,38.9,79.2,41.8,77.4,"20,925",13.5,0.29,2013
133,University of Geneva,53.5,36.2,42.5,73.1,32.4,95.3,"15,668",15,0.39,2013
134,Indiana University,53.2,48.3,44.2,72.5,-,36,"62,468",13.6,0.13,2013
134,National Taiwan University,53.2,56.4,65.7,45.5,44,24.6,"31,891",11.9,0.07,2013
134,University of Utah,53.2,43.3,41.3,81,63.3,25.2,"25,674",16.9,0.09,2013
137,Hebrew University of Jerusalem,53.1,48.8,55.8,57,33.6,50.3,"17,612",10.7,0.05,2013
137,Tohoku University,53.1,57.7,55.6,48.9,80.7,32,"17,200",5,0.07,2013
139,University of Glasgow,53,37.3,40.2,78.1,44.1,69.7,"22,616",16,0.29,2013
140,KTH Royal Institute of Technology,52.9,47.5,49.7,49.1,100,86.1,"12,062",14.6,0.21,2013
140,VU University Amsterdam,52.9,40.5,45.1,74.2,58.5,47.1,"23,280",16.3,0.06,2013
142,University of Basel,52.8,37.1,23.2,87.8,64.2,89.8,"12,551",17.3,0.24,2013
142,University of Leeds,52.8,41.5,48.6,65.8,41.3,66.6,"27,703",14.7,0.21,2013
144,University of Freiburg,52.3,48.3,33,72.4,81.1,54.9,"26,467",31.2,0.16,2013
145,Lancaster University,52.1,37.7,40.9,73.2,31.8,76.2,"11,512",14.9,0.33,2013
145,Queen Mary University of London,52.1,33.1,30,85.4,42.7,87,"14,260",14,0.40,2013
147,Osaka University,52,59.5,55.7,46.4,69.6,23.6,"23,144",7.8,0.09,2013
148,Arizona State University,51.9,38.4,45.2,79.9,31.8,27.4,"83,236",29.9,0.09,2013
149,Technical University of Denmark,51.7,37.9,30,76.9,98.7,77,"9,990",5,0.18,2013
150,Boston College,51.6,34.5,33.2,88.7,-,52.4,"13,216",17.4,0.19,2013
151,Karlsruhe Institute of Technology,51.5,46.3,38.9,63.4,82.9,64.5,"25,294",24.6,0.16,2013
151,University of Bern,51.5,43,36,69.7,42,77.3,"14,708",22.5,0.14,2013
153,University of Exeter,51.3,33.2,38.1,78.1,37.1,74.1,"17,755",18.8,0.28,2013
154,RWTH Aachen University,51.1,45.3,32.4,73.8,63.1,53.9,"37,917",27.6,0.16,2013
154,"University of California, Riverside",51.1,29.1,32.5,90.3,33.5,62.8,"20,626",22,0.12,2013
156,Texas A&M University,50.9,46.4,58.3,49.3,45.5,47.2,"50,657",21.4,0.09,2013
156,Yeshiva University,50.9,51.7,30.1,78.8,-,28.4,"6,753",5.5,0.07,2013
158,Tel Aviv University,50.5,50.7,59.8,43.7,49.2,39.5,"23,977",24.4,0.04,2013
158,University of Birmingham,50.5,44.8,46.7,56.3,38.4,69.7,"25,295",16.4,0.23,2013
158,University of São Paulo,50.5,63,65.7,30.2,40,24.5,"81,402",14.6,0.04,2013
161,University of Auckland,50.3,34,40.9,64.2,76.6,88,"29,787",18.9,0.28,2013
162,Stony Brook University,50.2,38.8,29.9,82.9,31.6,52.8,"21,908",10.9,0.24,2013
162,University of Vienna,50.2,44.3,46.7,52.4,29.1,86.3,"34,651",20.5,0.25,2013
164,Université Catholique de Louvain,50,38.6,40.5,68.8,34.5,64.3,"28,856",42,0.19,2013
165,University of Delaware,49.7,30,41.6,76.6,97.7,37.3,"19,262",15.9,0.10,2013
166,Paris Diderot University – Paris 7,49.6,31.9,27.1,87.9,-,66.8,"27,756",14.8,0.17,2013
167,University of Texas at Dallas,49.5,32.6,32.2,85.2,40,46.8,"16,306",22.8,0.23,2013
168,George Washington University,49.4,48.1,28,77.1,30,36.6,"20,541",12,0.16,2013
169,University of Iowa,49.3,49,40.9,65.7,-,26.4,"27,526",11.6,0.11,2013
170,École Normale Supérieure de Lyon,49.2,40.8,25.9,79.6,28.9,61,"2,218",8,0.14,2013
171,University of Bonn,49,40.9,26.1,80.4,-,54,"32,474",70.4,0.13,2013
171,University of Liverpool,49,38.7,37.5,64.8,46.4,73.7,"18,815",13.6,0.30,2013
171,University of Ottawa,49,40.8,41.4,63.1,43,58.1,"36,733",26.3,0.15,2013
174,Georgetown University,48.9,56.4,35.6,59.8,-,32.9,"15,408",8.5,0.14,2013
174,Rensselaer Polytechnic Institute,48.9,36.2,40.2,73,66.8,32.9,"6,671",15,0.16,2013
176,University of Aberdeen,48.8,31.9,34.3,71.5,48.9,84.1,"12,938",15.8,0.33,2013
176,University of Adelaide,48.8,37.3,43.7,55.9,63.2,82.2,"20,771",30.1,0.26,2013
176,University of East Anglia,48.8,29.6,27.7,85.5,30.7,68.9,"14,992",14.7,0.28,2013
176,University of Reading,48.8,39.3,41.1,61.3,35.2,72.4,"12,050",14.8,0.28,2013
180,Joseph Fourier University,48.6,36.6,26.5,81.8,36.3,56.3,"16,130",12.1,0.13,2013
180,Newcastle University,48.6,37.9,30.5,72.1,37.4,74.4,"20,174",15.2,0.29,2013
182,City University of Hong Kong,48.5,35.2,41.8,64.1,53.6,64,"10,015",7.1,0.28,2013
183,Yonsei University,48.2,48.3,50.6,48.6,56.1,33.4,"24,774",11.6,0.14,2013
184,Colorado School of Mines,48,24.9,22.5,94.3,66,51.2,"5,287",18.2,0.12,2013
184,University of Illinois at Chicago,48,53.9,42.6,52.9,40.4,29.1,"24,313",9.2,0.17,2013
184,William & Mary,48,41.3,22.6,87.1,29.9,25.8,"7,867",11.8,0.07,2013
187,University College Dublin,47.9,31.1,31.8,74.9,35.3,76.5,"22,193",24.5,0.23,2013
187,University of Twente,47.9,35.8,46.4,55.6,79.7,61.5,"6,631",12,0.26,2013
189,Medical University of South Carolina,47.7,46.2,39.6,59.7,77.1,27.7,,,,2013
190,University of Western Australia,47.3,35,39.9,55.7,60,88.4,"20,851",20.7,0.27,2013
190,Wake Forest University,47.3,37.5,22.4,89.1,48,19,"7,326",4.6,0.05,2013
192,University of Antwerp,47.1,33.8,35.5,64.8,100,58.5,"12,346",30.3,0.16,2013
193,Iowa State University,46.9,35.7,34.3,74.9,44,30.5,"29,991",17.4,0.11,2013
193,Technion Israel Institute of Technology,46.9,44.8,50.2,44,40.8,55.9,"13,855",19.4,0.04,2013
193,University of Miami,46.9,48.7,27,69.7,-,33.1,"15,286",5.7,0.14,2013
196,University of Leicester,46.7,33,32.5,66.5,34.9,83.7,"14,541",13.4,0.35,2013
196,University of Victoria,46.7,20.2,33.7,82.7,30.6,65.9,"17,581",21.5,0.11,2013
198,University at Buffalo,46.6,46.3,40.6,52.1,42.4,50.7,"25,668",19,0.19,2013
199,Goethe University Frankfurt,46.4,33.3,29.7,73.9,41.4,57.6,"31,861",9.3,0.15,2013
200,"Birkbeck, University of London",46.2,27.6,30.5,72.8,29.4,83.2,"9,454",17.2,0.38,2013
,Autonomous University of Barcelona,-,39,35.7,62.8,37.3,47.1,"30,538",12.3,0.10,2013
,Brandeis University,-,27.3,27.9,83.1,37.4,45.3,"5,495",12.6,0.22,2013
,Cardiff University,-,32.5,38.2,60.2,39.8,68.1,"23,347",13.1,0.23,2013
,Fudan University,-,45.3,39.5,51.3,46.3,38.6,"32,175",12.2,0.11,2013
,Johannes Gutenberg University of Mainz,-,33.5,18.4,85.2,-,57,"35,609",32.6,0.10,2013
,Lomonosov Moscow State University,-,63.5,48.1,19.7,70.1,50.3,"30,822",7.7,0.20,2013
,Middle East Technical University,-,50.8,46,44.6,50.6,28,"25,779",22.2,0.07,2013
,Nagoya University,-,44.2,39.2,53.3,35.5,25.3,"15,529",7.9,0.10,2013
,Northeastern University,-,40.1,21.2,76.4,33.8,41,"18,539",15.1,0.26,2013
,Pompeu Fabra University,-,27.3,23.2,77.5,34.2,49.9,"10,901",18.3,0.13,2013
,Queen’s University,-,39.5,35.4,51.2,77.3,58,"20,488",22.1,0.10,2013
,"St George’s, University of London",-,20,22.6,89.7,44.1,57.9,"2,958",13.4,0.17,2013
,Sungkyunkwan University (SKKU),-,47.1,48.7,39.3,98.7,30.9,"24,365",20.3,0.09,2013
,Tilburg University,-,38.2,54.5,33.7,54.8,56.6,"7,576",22.4,0.10,2013
,University of Barcelona,-,32.5,33.4,71.4,30.9,46,"47,491",12.2,0.10,2013
,University of Dundee,-,24.8,23.2,81.1,49.9,66.6,"11,628",15.3,0.25,2013
,University of Erlangen-Nuremberg,-,35,18.7,74.6,45.2,49,"36,146",53.9,0.09,2013
,University of Georgia,-,45.4,40.1,46.8,31.3,36.2,"33,119",19.9,0.07,2013
,University of Gothenburg,-,28.3,41.9,63.8,38.6,48.4,"26,420",16.4,0.12,2013
,University of Innsbruck,-,36.6,17.9,71.6,38.2,88.7,"18,209",16.9,0.39,2013
,University of Konstanz,-,32.6,35.6,64.5,51.9,58.5,"10,930",59.1,0.12,2013
,University of Oslo,-,33.5,39.8,62.3,31.4,59,"27,139",18.8,0.18,2013
,University of Science and Technology of China,-,39.2,27.7,72.7,50.1,22,"14,290",7.9,0.02,2013
,University of Strasbourg,-,29.7,29.2,72,34.8,68.3,"46,208",17.8,0.21,2013
,University of Tübingen,-,36.3,25.1,73.8,31.6,56.3,"28,327",38.9,0.12,2013
,Bilkent University,-,34.7,30.5,60.1,39.9,42,,,,2013
,Carleton University,-,18.3,26.7,75.1,-,56.8,"25,036",29.8,0.18,2013
,Chalmers University of Technology,-,29.9,41.5,47.7,78.5,65.3,"8,605",11.6,0.15,2013
,Florida Institute of Technology,-,16.2,11.9,92.5,28.7,58.4,"4,408",13.7,0.26,2013
,Georgia Health Sciences University,-,49.4,17.5,62,43.6,32.6,,,,2013
,Indian Institute of Technology Kharagpur,-,44.2,45.3,39,72.4,16.1,"9,928",17.5,0.00,2013
,Korea University,-,44.7,43.7,39.4,52.1,27.3,"24,043",15.8,0.14,2013
,Koç University,-,20.4,22.3,79.2,37.9,52.8,"4,488",14.6,0.08,2013
,Laval University,-,36.4,27.3,57.5,56.6,54.4,"27,227",16.2,0.12,2013
,Mines ParisTech,-,39.5,25.6,51.7,99.4,62.4,"1,283",5.6,0.22,2013
,National Research Nuclear University MePhI,-,20.9,10.6,100,59.6,18.8,"7,801",7.3,0.07,2013
,National Tsing Hua University,-,45.5,44.1,44.4,44,20.1,"10,221",13.5,0.05,2013
,Simon Fraser University,-,24,35.3,61,41.6,55.6,"26,640",28.3,0.19,2013
,Technical University of Darmstadt,-,37.8,31.8,44.4,84.4,64.4,"20,300",53.6,0.18,2013
,Tulane University,-,42.8,22.6,66.8,-,31.2,"11,381",8.4,0.08,2013
,University of Bergen,-,28.3,26.8,66.2,41.1,71,"11,623",11.1,0.12,2013
,University of Calgary,-,37.3,35.8,47.1,42.8,62.2,"28,341",16.5,0.17,2013
,University of Cincinnati,-,34.9,26.5,69.5,35.8,23.9,"36,108",15.7,0.06,2013
,University of Missouri,-,40.4,45.8,45.2,31.1,30.8,"29,885",14.1,0.05,2013
,University of Otago,-,28.8,30.9,54.8,37.2,85.4,"18,600",20.3,0.21,2013
,University of South Florida,-,32.6,42,48.4,98.9,19.7,"31,424",21.5,0.10,2013
,University of the Witwatersrand,-,28.6,38.3,49.8,98.4,65.1,"23,321",18.6,0.09,2013
,University of Waterloo,-,34.7,42.1,41.8,39.4,58.3,"30,726",24.2,0.14,2013
,University of Western Ontario,-,39.4,37.2,44.8,44.6,51.3,"27,387",20.7,0.16,2013
,University of Würzburg,-,33,19.4,70.9,30.4,44.8,"26,576",38.4,0.08,2013
,Université Libre de Bruxelles,-,25.6,30.6,59.3,54.9,78.2,"23,819",26.1,0.32,2013
,Aalto University,-,34.4,26.8,50.1,73.7,52,"16,099",24.2,0.17,2013
,Dalhousie University,-,30.2,29.8,54.3,65,59.1,"15,064",14.4,0.18,2013
,Hong Kong Polytechnic University,-,34.6,41.2,39.8,42.2,65.4,"22,064",25.9,0.26,2013
,Indian Institute of Technology Bombay,-,47.3,33.1,45.6,52.7,19.9,"8,327",14.9,0.01,2013
,Macquarie University,-,22,29.6,54.8,37.2,86.8,"27,930",20,0.44,2013
,Nanjing University,-,41.3,25.3,52.1,47.7,48.4,"29,743",13.3,0.10,2013
,National Chiao Tung University,-,39.6,49.6,31.5,99,27.2,"12,646",16.6,0.05,2013
,Norwegian University of Science and Technology,-,34.2,27.7,50.8,45.2,57.5,"17,381",13.9,0.09,2013
,Queensland University of Technology,-,27.6,37,47,58.9,69.2,"33,391",35.8,0.17,2013
,State University of Campinas,-,51.7,46.8,26.5,44.9,20.9,"27,095",15.3,0.03,2013
,Stellenbosch University,-,31.5,35,48.9,96.6,47.8,"21,849",23,0.08,2013
,Tokyo Metropolitan University,-,19,9.8,97.1,31.1,19.6,"9,303",9.9,0.04,2013
,Umeå University,-,23.5,34.5,59.6,29.7,52.4,"16,667",11.9,0.07,2013
,University of Connecticut,-,42.5,29.7,50,32.6,40.5,"25,742",13,0.11,2013
,University of Essex,-,33.7,34.6,39.6,31,86.4,"12,695",19.8,0.39,2013
,University of Iceland,-,11.4,28,71,74.4,59.9,"13,960",25.9,0.08,2013
,University of Kiel,-,32.1,27,62.5,35.6,44.6,"24,444",23.8,0.08,2013
,University of Milan,-,36.3,24.2,61,38.2,35.7,"58,618",24.3,0.05,2013
,University of Milan-Bicocca,-,26.1,21.1,76,39,36.2,"33,370",72.5,0.05,2013
,University of Münster,-,35.9,20.4,63.6,38.2,43.2,"39,838",46.1,0.08,2013
,University of Oregon,-,31.5,21.7,70.4,-,30.2,"24,418",20.2,0.11,2013
,University of Trieste,-,19.6,14.3,82.2,33.6,48.5,"18,135",25.8,0.09,2013
,Victoria University of Wellington,-,22.3,29.1,55.6,43,84.8,"17,142",21.1,0.21,2013
,Vienna University of Technology,-,44.8,32.4,34.2,65.5,71.4,"26,419",52,0.27,2013
,Aberystwyth University,-,23.8,21.7,64.3,34.9,63.1,"9,252",19.2,0.18,2013
,Bangor University,-,27.6,25.7,53.8,31.6,70.3,"9,567",19.5,0.22,2013
,Bayreuth University,-,25.6,14.9,72.1,35.4,50.4,"12,520",35.5,0.08,2013
,Bielefeld University,-,27.4,20.3,63.5,35.1,47.5,"21,428",67.8,0.08,2013
,Boğaziçi University,-,35.4,33.9,48.1,38.4,36.7,"11,506",25,0.07,2013
,Colorado State University,-,30.8,32,55.8,-,29.8,"26,769",19,0.05,2013
,Drexel University,-,34.7,14.9,65.1,34.7,36.6,"20,713",10.8,0.18,2013
,Istanbul Technical University,-,34.9,25.5,52.9,98,20.8,"34,550",16,0.05,2013
,Montpellier University,-,22.2,25.8,64.4,32.8,54.2,"36,731",18.4,0.14,2013
,Oregon State University,-,27.1,24.2,64.1,31,34.2,"22,578",16.8,0.09,2013
,Queen’s University Belfast,-,28,23.8,52.2,48.1,87.1,"17,940",17.9,0.30,2013
,Ruhr University Bochum,-,36.7,32.9,42.4,54.3,48.3,"38,675",46.3,0.13,2013
,Shanghai Jiao Tong University,-,43.4,37.9,31.3,76.1,20.7,"38,191",12.8,0.06,2013
