rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,20664,11.2,0.41,95.4,90.5,99.6,98.4,65.5,96.4,2020
2,California Institute of Technology,2240,6.4,0.3,94.5,92.1,97.2,97.9,88,82.5,2020
3,University of Cambridge,18978,10.9,0.37,94.4,91.4,98.7,95.8,59.3,95,2020
4,Stanford University,16135,7.3,0.23,94.3,92.8,96.4,99.9,66.2,79.5,2020
5,Massachusetts Institute of Technology,11247,8.6,0.34,93.6,90.5,92.4,99.5,86.9,89,2020
6,Princeton University,7983,8.1,0.25,93.2,90.3,96.3,98.8,58.6,81.1,2020
7,Harvard University,20823,9.2,0.24,93,89.2,98.6,99.1,47.3,76.3,2020
8,Yale University,12402,5.4,0.2,91.7,92,94.8,97.3,52.4,68.7,2020
9,University of Chicago,13833,5.7,0.28,90.2,89.1,91.4,96.7,52.7,76,2020
10,Imperial College London,16760,11.7,0.56,89.8,84.5,87.6,97,69.9,97.1,2020
11,University of Pennsylvania,20578,6.5,0.21,89.6,87.5,90.4,98.2,74,65,2020
12,Johns Hopkins University,16171,4.5,0.26,89.2,81.7,91.4,98.3,91.3,73.2,2020
13,"University of California, Berkeley",41081,13.7,0.17,88.3,83,90.6,99.2,46.1,70.4,2020
14,ETH Zurich,18956,12.5,0.39,88.3,81.8,92.8,90.3,56.8,98.2,2020
15,UCL,32665,10.6,0.52,87.1,77.8,88.7,96.1,42.7,96.2,2020
16,Columbia University,26586,5.8,0.37,87,85.6,82.6,98.2,44.8,79.3,2020
17,"University of California, Los Angeles",41066,9.4,0.17,86.8,83.1,88.6,97.3,51.3,64.1,2020
18,University of Toronto,73370,20.1,0.21,85.5,76.6,89.5,93.6,50.5,84.7,2020
19,Cornell University,22319,9.8,0.25,85.1,79.7,86,96.6,37.1,73.4,2020
20,Duke University,15309,4.3,0.19,84,82.4,76.8,97,99.9,61.5,2020
21,University of Michigan-Ann Arbor,42982,8.3,0.17,83.8,79.4,86.1,94.9,47.7,59.2,2020
22,Northwestern University,17951,12.8,0.2,83.5,74.2,83.8,97.8,78.4,64.1,2020
23,Tsinghua University,38783,12,0.11,82.6,86.6,94,74.6,100,47.4,2020
24,Peking University,39575,11.5,0.15,82.3,89.1,90,73.2,86.6,59.6,2020
25,National University of Singapore,30869,17.9,0.28,81.9,76.8,90.4,76.9,58.8,95.5,2020
26,University of Washington,45692,11.1,0.16,81.6,72.2,82.2,98.6,47.5,60.4,2020
27,Carnegie Mellon University,13430,13.6,0.48,81.3,65.9,82.7,98.2,50.5,80.6,2020
28,London School of Economics and Political Science,10570,12.1,0.71,81.3,69,83,92.8,35.1,93.2,2020
29,New York University,44466,8.9,0.33,81.1,76.8,77.5,96.5,38.7,65.4,2020
30,University of Edinburgh,29433,12.8,0.41,79.4,67.3,74.1,96.4,38.9,93.8,2020
31,"University of California, San Diego",33579,13,0.23,78.8,62.6,78.9,97.7,90.3,63.7,2020
32,LMU Munich,34519,34.7,0.17,77.8,68.4,77,88.8,100,67.2,2020
33,University of Melbourne,47385,26.3,0.46,77.8,65.9,74.1,89.8,76.3,93.1,2020
34,University of British Columbia,52108,18.1,0.32,76.3,61.5,73.2,92.5,43.8,94.4,2020
35,University of Hong Kong,18260,18.2,0.44,75.9,69.5,77.2,76.6,59.7,98.6,2020
36,King’s College London,26057,12.5,0.44,75.7,61.3,68.5,94.8,45.6,95.6,2020
37,The University of Tokyo,25913,10.6,0.12,75.7,85.9,89.6,60.7,77.4,38.2,2020
38,École Polytechnique Fédérale de Lausanne,10492,11.4,0.59,75.4,66.6,66.3,88.3,66.4,98.6,2020
39,Georgia Institute of Technology,21372,18.3,0.27,75.4,60.2,76.4,90.4,61.6,77.1,2020
40,University of Texas at Austin,49165,17.2,0.1,75.4,68.2,76.2,93.2,46.6,39.1,2020
41,Karolinska Institute,7777,9,0.2,74.7,55.4,71.4,96.1,71.2,81.2,2020
42,McGill University,31294,13,0.29,74.3,65,71.9,84.7,42.8,90.4,2020
43,Technical University of Munich,40472,47.8,0.27,74.1,64.6,70.4,85.5,100,72.9,2020
44,Heidelberg University,20800,16.1,0.18,73.5,67.1,60.3,96.2,54.6,67.5,2020
45,KU Leuven,45049,36.3,0.15,73.2,58.7,73.9,85.3,99.3,71.8,2020
46,Paris Sciences et Lettres – PSL Research University Paris,21298,11.5,0.26,73.2,71.6,71.4,77,52.2,78.7,2020
47,The Hong Kong University of Science and Technology,10125,22.3,0.31,73.1,57.4,66.1,89.8,71.9,97.7,2020
48,University of Illinois at Urbana-Champaign,44916,17.9,0.24,72.9,63.2,78,84.4,47.9,54.3,2020
49,"Nanyang Technological University, Singapore",25088,15.9,0.27,72.9,57.6,70.4,84.9,76.5,95.1,2020
50,Australian National University,17359,17.8,0.44,72.1,54.4,69.7,88.4,46.4,95.5,2020
