rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"19,720",10.9,0.35,95,89.6,99.1,99.2,62.5,94.5,2017
2,California Institute of Technology,"2,181",6.7,0.27,94.3,95.5,95.7,99.8,90.8,63.4,2017
3,Stanford University,"15,658",7.7,0.22,93.8,92.6,95.9,99.9,60.9,76.5,2017
4,University of Cambridge,"18,605",11.3,0.35,93.6,90.6,97.2,96.8,50.4,92.4,2017
5,Massachusetts Institute of Technology,"11,192",8.8,0.33,93.4,90.3,92.3,99.9,88.4,85.6,2017
6,Harvard University,"19,890",8.8,0.25,92.7,87.5,98.3,99.7,47.3,77.9,2017
7,Princeton University,"7,925",8.4,0.23,90.2,89.5,88.4,99.2,49.9,77.2,2017
8,Imperial College London,"15,235",11.3,0.52,90,86.4,86.6,97.3,67.5,96.5,2017
9,ETH Zurich,"18,616",14.9,0.37,89.3,81.5,93.7,92.5,63.7,98.1,2017
10,"University of California, Berkeley","34,834",12,0.16,88.9,82.4,96.1,99.8,37.6,59.6,2017
11,The University of Chicago,"13,486",6.2,0.24,88.9,88.1,89.1,99.1,37.7,67.8,2017
12,Yale University,"11,946",4.4,0.21,88.2,88.5,87.8,97.8,44.5,64.3,2017
13,University of Pennsylvania,"20,367",6.5,0.20,87.1,85.9,88.9,98.6,49.9,50.1,2017
14,"University of California, Los Angeles","38,392",9.9,0.16,86.6,82.9,89,98.4,47.1,58,2017
15,UCL,"28,600",10.6,0.47,86.5,77.4,90,94,41.9,94.3,2017
16,Columbia University,"25,659",6,0.30,86.1,86.9,78.9,98.6,44.9,75.3,2017
17,Johns Hopkins University,"15,303",3.5,0.24,85.9,77.4,84.3,98.4,100,71.1,2017
18,Duke University,"15,204",4.8,0.17,84.7,80.7,80,98.8,100,58.2,2017
19,Cornell University,"21,593",9.9,0.19,84.6,79.7,86.5,97.2,36,62.2,2017
20,Northwestern University,"18,570",14,0.16,83.7,75.8,85,97,85.8,56.1,2017
21,University of Michigan-Ann Arbor,"41,912",8.8,0.16,83.6,79.4,86.1,95.8,43.9,54.6,2017
22,University of Toronto,"68,093",18.8,0.16,83,74.6,86.3,91.9,48.8,78.3,2017
23,Carnegie Mellon University,"12,311",13.2,0.38,81.8,70.2,84,99.3,51.8,59.6,2017
24,National University of Singapore,"31,111",16.7,0.32,81.7,76.7,86.9,79.7,61.3,96,2017
25,London School of Economics and Political Science,"9,400",11.8,0.70,80.2,70.8,74.7,96.3,34.8,91,2017
26,University of Washington,"45,162",11.9,0.15,80.2,70.2,80.4,98.8,49.8,55,2017
27,University of Edinburgh,"25,280",12.5,0.37,79.2,67.5,74.7,96,35,91.5,2017
28,Karolinska Institute,"7,723",11.3,0.23,77.6,62.1,76,95.9,72.1,74.2,2017
29,Peking University,"42,977",8.8,0.15,77.2,84.6,80.3,71.6,100,50.3,2017
30,LMU Munich,"36,180",15.7,0.14,76.8,70.5,73.4,87.4,100,65.4,2017
31,École Polytechnique Fédérale de Lausanne,"9,750",11.2,0.54,76.8,62.9,66.1,96.5,69.8,98.6,2017
32,New York University,"43,021",6.6,0.25,76.7,75.1,68.8,95.3,33.6,54.3,2017
33,Georgia Institute of Technology,"19,847",19.8,0.26,76.3,60.8,79.2,90.8,62.3,72.8,2017
34,University of Melbourne,"42,273",24.8,0.37,76.3,65.4,73.6,88.1,63.7,88.3,2017
35,Tsinghua University,"41,537",14.1,0.10,76.2,78.9,89.6,67.4,99.7,39.4,2017
36,University of British Columbia,"51,889",18.2,0.29,75.9,61.2,72.5,92.9,41.1,92,2017
37,University of Illinois at Urbana-Champaign,"43,202",18.3,0.22,75.9,65.6,81.4,89.3,50.3,49.7,2017
38,King’s College London,"21,985",11.3,0.38,75.9,61.5,71,93.5,42.5,93.8,2017
39,The University of Tokyo,"26,080",7,0.10,74.1,83.4,89.2,62.4,53.4,30.6,2017
40,KU Leuven,"46,381",41.9,0.16,73.8,57,73.7,90.1,99.8,67.4,2017
41,"University of California, San Diego","28,416",6.6,0.14,73.2,61.2,66.2,98.9,67.3,47.7,2017
42,McGill University,"30,911",13.5,0.24,73.1,66.4,70.3,81.8,41.9,86.4,2017
43,Universität Heidelberg,"29,527",24.9,0.17,73,66.7,65,90.8,60,62.7,2017
44,University of Hong Kong,"20,095",17.8,0.39,73,66.5,74.5,73.2,52.9,99.4,2017
45,University of Wisconsin-Madison,"40,048",11,0.12,72.6,68.2,71.4,87.9,47.4,42,2017
46,Technical University of Munich,"36,929",51.9,0.22,71.6,61,70.5,82,100,66.6,2017
47,Australian National University,"15,402",19.9,0.35,71.3,54,73.9,81.7,53.5,93.9,2017
48,"University of California, Santa Barbara","22,267",27.4,0.12,71.2,52.2,62.6,99.2,87.6,63.3,2017
49,The Hong Kong University of Science and Technology,"11,960",27.3,0.38,71.1,53.2,66.7,91.2,62,82.8,2017
50,University of Texas at Austin,"48,689",17.2,0.10,70.8,63.9,65.9,93,51.3,35.7,2017
51,Brown University,"8,694",10.2,0.20,70.4,66.3,54.4,96.7,33.9,58,2017
52,"University of California, Davis","36,060",13.7,0.15,70.4,61.4,67.3,86.6,50,61.2,2017
53,University of Minnesota,"46,625",17.5,0.13,70.3,60.3,69.8,87,94.2,38.2,2017
54,"Nanyang Technological University, Singapore","25,278",16.1,0.32,70,50.6,60.2,90.7,93.5,95.7,2017
55,University of Manchester,"34,015",14.4,0.36,69.7,58.2,66.3,82.3,45.1,87,2017
56,University of North Carolina at Chapel Hill,"26,412",7.5,0.08,69.3,61.9,59.6,96.1,41,40,2017
57,Humboldt University of Berlin,"31,043",54.8,0.17,69.2,62.5,69,79.9,39.4,64.4,2017
58,Washington University in St Louis,"12,528",5.7,0.17,69.2,60.7,56.2,99.1,36.9,45.5,2017
59,Delft University of Technology,"16,174",18.9,0.25,67.9,56.2,72.9,67.3,99.9,85.9,2017
