rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
287,Sun Yat-sen University,-,33.3,14.3,50.5,42.1,20.7,"51,351",16.6,0.08,2012
288,Technical University of Darmstadt,-,28,15.5,39.2,45.1,71,"20,300",53.6,0.18,2012
289,Tokyo Medical and Dental University (TMDU),-,42.8,22.6,36.7,40.8,18,"2,872",3.3,0.07,2012
290,UiT The Arctic University of Norway,-,24.4,14.4,53,32.8,63.5,"10,398",12.2,0.10,2012
291,University of Antwerp,-,21.8,10.9,55.3,56.2,70.7,"12,346",30.3,0.16,2012
292,University of Crete,-,13.1,12.6,66.7,33.2,42.6,"14,650",26.9,0.05,2012
293,University of Guelph,-,24.2,31.4,38.6,48.9,33.3,"21,643",28.3,0.04,2012
294,University of Iceland,-,10.7,17.3,62.4,75.4,56.9,"13,960",25.9,0.08,2012
295,University of Kansas,-,33.2,20.1,43,27.6,23.5,,,,2012
296,University of Kentucky,-,38.7,28.4,35.2,-,18.3,,,,2012
297,University of Münster,-,27.8,18.5,49.1,35.1,43.3,"39,838",46.1,0.08,2012
298,University of Newcastle,-,18.2,27.1,35.8,64.8,76.3,"23,508",21.9,0.18,2012
299,University of Texas at San Antonio,-,14.1,15.4,70.3,25.3,22.6,"27,520",26.9,0.06,2012
300,University of Trento,-,21.9,20,51.5,51,49.7,"16,841",43.2,0.08,2012
301,York University,-,19.9,27.7,41.2,41.7,57.7,"48,007",39.4,0.09,2012
302,Aalborg University,-,19,20,27.1,36.4,75.3,"17,422",15.9,0.15,2012
303,Aalto University,-,26.2,22.2,37.5,61.9,49,"16,099",24.2,0.17,2012
304,Alexandria University,-,15.2,7.8,61.4,34.5,31.6,"127,431",23.3,0.01,2012
305,Bar-Ilan University,-,27.9,32.2,15.7,28.5,47,"17,503",16,0.05,2012
306,"Binghamton University, State University of New York",-,18.7,20.3,46.2,29.5,30.8,"15,799",23.3,0.14,2012
307,Boğaziçi University,-,24.5,19.7,45.7,34.7,36.2,"11,506",25,0.07,2012
308,Charles Darwin University,-,16.4,19.4,52.6,31.3,46.7,"5,570",25.4,0.15,2012
309,Charles University in Prague,-,32.3,24.6,31,24.5,51.4,"51,438",13,0.15,2012
310,George Mason University,-,29.3,17.7,42.6,25.1,23.8,"26,622",17,0.07,2012
311,Indian Institute of Technology Bombay,-,43.8,15.7,38.8,24.2,14.3,"8,327",14.9,0.01,2012
312,Jagiellonian University,-,25.1,16,43.1,25.8,39.5,"42,835",11.5,0.05,2012
313,Keele University,-,18,18.1,39.8,28.1,62.6,"8,397",15.7,0.20,2012
314,Keio University,-,32.3,21.9,26.1,40,18.3,"33,751",11.9,0.05,2012
315,Kent State University,-,15.9,13.9,58.3,24.6,26.9,"23,122",19,0.08,2012
316,Lehigh University,-,20.2,18.1,44.9,38.6,26.5,"6,300",11.3,0.15,2012
317,Linköping University,-,19.6,18.9,42.8,31.8,48.6,"17,866",7.7,0.10,2012
318,National Taiwan University of Science and Technology (Taiwan Tech),-,24.3,37,19.4,42.9,15.6,"7,446",17.4,0.11,2012
319,Plymouth University,-,12.9,13.7,58.1,25.8,49,"24,121",25.9,0.13,2012
320,Polytechnic University of Milan,-,24.1,17.6,33.9,69.8,33.6,"30,025",22.2,0.12,2012
321,Sapienza University of Rome,-,29.6,27.2,29.2,32.8,32.4,"120,986",32.3,0.07,2012
322,Shanghai Jiao Tong University,-,39.4,29.7,19.1,85.2,20.5,"38,191",12.8,0.06,2012
323,Sharif University of Technology,-,28.5,29.7,19.3,93.1,12.7,"10,977",18.7,0.00,2012
324,Sungkyunkwan University (SKKU),-,31.4,32.1,23.9,99.4,26.6,"24,365",20.3,0.09,2012
325,University College Cork,-,20.6,19.2,29.4,36.8,77,"15,805",22.3,0.15,2012
326,University of Aveiro,-,17,15.9,40.9,34.7,48.4,"10,791",17.8,0.10,2012
327,University of Canterbury,-,17.3,24.3,30.5,26.6,76.3,"12,187",16.5,0.20,2012
328,University of Eastern Finland,-,23.2,16.1,51.1,30.2,33.5,"10,798",17.3,0.06,2012
329,University of Ferrara,-,15.8,14.1,59.3,34.3,37.1,"18,882",30.2,0.07,2012
330,University of Hertfordshire,-,12.2,7.7,55.5,27.1,76.5,"19,665",19.4,0.27,2012
331,University of Houston,-,36.5,23.6,23.6,31.2,27.7,"40,325",43.7,0.09,2012
332,University of Hull,-,14.5,16.7,40.2,28.1,66.2,"15,141",18.7,0.20,2012
333,University of Liège,-,23.5,16.4,38.9,64.8,68.7,"20,951",25.9,0.23,2012
334,University of Manitoba,-,29.5,31.7,27.7,40.7,40.2,"28,576",27.8,0.11,2012
335,"University of Maryland, Baltimore County",-,17.6,14.5,52.8,29.9,18.6,"13,908",18.1,0.07,2012
336,University of Modena and Reggio Emilia,-,14.5,15.7,50.8,27.9,26.8,"19,693",25.3,0.06,2012
337,University of Oklahoma,-,33.8,16.1,31.6,32.3,20.7,,,,2012
338,University of Pisa,-,18.3,18.5,50.8,35.3,26.2,"47,247",18,0.04,2012
339,University of Porto,-,17.7,13,43.9,33.7,42,"32,720",18.8,0.09,2012
340,University of South Florida,-,22.1,30.1,36.6,94.4,15,"31,424",21.5,0.10,2012
341,University of Stirling,-,18.2,22.2,42,26.6,69.5,"7,828",15.9,0.22,2012
342,University of Surrey,-,32.6,25.2,12.4,46.9,81.5,"12,063",16.6,0.38,2012
343,University of Tampere,-,22.5,22.1,44.4,55.1,38.3,"10,045",9.5,0.04,2012
344,University of Tasmania,-,18.5,15,34.9,42.1,70.5,"18,340",23.8,0.21,2012
345,University of Valencia,-,15.8,10.2,64.3,32.1,36.4,"58,413",15.4,0.09,2012
346,University of Waikato,-,13.3,13.9,47.8,24.5,87,"10,159",17,0.25,2012
347,University of Warsaw,-,21.6,15.7,44.3,-,35.8,"49,292",14.1,0.07,2012
348,Vienna University of Technology,-,26.3,14.1,24.3,35.2,82.5,"26,419",52,0.27,2012
349,Vrije Universiteit Brussel,-,23.4,21.1,36.7,66.2,49.4,"9,020",17.1,0.16,2012
350,Washington State University,-,28.8,24.5,33.5,34.3,31,"24,550",18.3,0.07,2012
351,Zhejiang University,-,38.8,27.2,23,84.4,13.9,"47,508",15.9,0.05,2012
352,Aston University,-,16.2,19.9,11.7,26.8,84.5,,,,2012
353,Auburn University,-,33.7,18.7,10.3,47.3,22.5,"22,386",17.6,0.04,2012
354,Clemson University,-,20.8,17,25.5,30.8,28.5,"19,198",17.1,0.08,2012
355,Curtin University,-,17.1,12.3,28.7,31.3,91.4,"30,333",17.1,0.38,2012
356,Deakin University,-,17.7,16.8,26.2,27.9,56.3,"32,713",30.4,0.17,2012
357,Flinders University,-,18.2,19.1,20.3,36.2,59.9,"15,655",22.6,0.15,2012
358,Georgia State University,-,19.6,20.2,34.4,39.1,27.9,"28,534",20.4,0.05,2012
359,Griffith University,-,15.7,16.2,20.3,30.7,79,"30,251",22,0.21,2012
360,Harbin Institute of Technology,-,29,12.5,21,97.2,21,"31,658",10.8,0.07,2012
361,Heriot-Watt University,-,21.5,16.2,18.8,41.1,82.6,"8,773",17.8,0.43,2012
362,Hiroshima University,-,27.7,16.3,20.1,39.4,18.8,"14,686",8.2,0.05,2012
363,Kansas State University,-,20.9,13.8,33.9,36,23.6,"21,379",15.1,0.10,2012
364,Kobe University,-,28.3,15.5,24.3,33.5,18.1,"15,885",8.4,0.06,2012
365,Kyung Hee University,-,37.1,17.9,6.6,79.9,31.4,"24,356",17.4,0.14,2012
366,La Trobe University,-,19,19.5,13.6,28.9,71.3,"22,037",29,0.27,2012
367,Leibniz University of Hanover,-,28.2,15.9,21.7,38.9,51.4,"22,401",62.7,0.12,2012
368,Liverpool John Moores University,-,12.3,9.3,48.4,26.9,52.6,"18,513",19.8,0.13,2012
369,Loughborough University,-,27.9,25.7,9.2,39.4,66.7,"13,951",15.9,0.22,2012
370,Mahidol University,-,29.9,14.7,20.9,29,45,"27,402",7.5,0.03,2012
371,Massey University,-,17.4,17.2,24.5,-,77.8,"19,101",16.8,0.15,2012
372,Michigan Technological University,-,21.2,13.8,24.8,41.9,32.3,,,,2012
373,National Central University,-,24.7,21.4,27.1,78.6,22.2,"10,915",9.8,0.06,2012
374,National Taiwan Ocean University,-,12.5,19.7,31,68,14.3,"8,240",20.9,0.05,2012
375,"National University of Ireland, Galway",-,17.9,12.2,31.3,32.7,72.6,"14,067",26.8,0.14,2012
376,"National University of Ireland, Maynooth",-,22.9,18.6,22.1,27.1,74.8,"7,653",28,0.11,2012
377,New Jersey Institute of Technology,-,17.1,14.5,26.4,37.5,41.3,"10,646",26.2,0.17,2012
378,New University of Lisbon,-,18,10.9,28.3,38.3,48.3,"18,867",17.9,0.07,2012
379,Old Dominion University,-,17.1,12.5,46.9,-,27.3,,,,2012
380,Polytechnic University of Catalonia,-,23,12.5,23.3,44.6,42,"22,893",11.7,0.28,2012
381,Polytechnic University of Turin,-,19.3,12.1,29.1,67.6,32.4,"27,709",19.6,0.16,2012
382,Polytechnic University of Valencia,-,19.6,9.8,45.3,36.6,23.6,"33,172",13.6,0.07,2012
383,Pontifical Catholic University of Chile,-,17.1,16.3,30.1,29.7,45.5,"25,075",15.3,0.07,2012
384,Saint Petersburg State University,-,37.6,19.7,3.1,26,38.1,"20,836",5.2,0.07,2012
385,Swansea University,-,17.6,18.1,25.6,28.8,63.3,"12,801",17.1,0.20,2012
386,Swinburne University of Technology,-,15.5,11.3,35.6,40.3,64.6,"20,314",36.5,0.33,2012
387,Tokyo University of Agriculture and Technology,-,26.5,15.8,21.7,41.5,18,"5,865",14.4,0.05,2012
388,University of Bari Aldo Moro,-,23.1,17.4,35.1,30.6,30.5,"51,560",65.1,0.02,2012
389,University of Coimbra,-,20.6,11.6,27.4,29.4,55.8,"22,795",19,0.11,2012
390,University of Idaho,-,29.4,16.2,24,25.5,27.4,"11,641",21.5,0.06,2012
391,University of Kent,-,15.6,18.5,19.1,26.5,82.5,"17,638",14.4,0.27,2012
392,University of Paris North – Paris 13,-,13.4,11.8,39.4,24.2,59.9,"23,026",23.4,0.22,2012
393,University of Salento,-,26.5,19.1,27.2,73.1,24.4,"19,959",58.4,0.01,2012
394,University of South Australia,-,20.6,18,19.4,87.7,81.8,"18,971",26.2,0.32,2012
395,University of Strathclyde,-,24.4,17.7,19.3,33.1,63,"15,705",20.2,0.20,2012
396,University of Tartu,-,17.8,17.8,34.4,26.3,42,"10,269",13,0.03,2012
397,University of Turku,-,20.4,21.5,28.9,32.3,41.4,"12,326",14.6,0.05,2012
398,University of Wyoming,-,18.4,20.9,36.7,29.8,21.8,,,,2012
399,University of Zaragoza,-,14.5,9.3,38.4,42.9,28.8,"31,046",11.8,0.05,2012
400,Waseda University,-,25.4,17.3,29.7,27.3,27.1,"52,316",16.9,0.08,2012
401,Wuhan University,-,31.3,12.9,25.3,66.7,21.7,"46,227",14.4,0.07,2012
402,Yuan Ze University,-,10.8,9.6,58.3,29.2,12.8,"8,663",20.6,0.04,2012
