rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
65,McMaster University,61,41.9,49.9,85.5,97.5,72,"23,823",19.3,0.15,2012
66,University of Bristol,60.9,44.2,47.7,89.9,34.8,73.7,"17,906",14,0.25,2012
67,KU Leuven,60.8,52.5,64.7,63,99.9,56.7,"42,503",41.9,0.18,2012
68,Utrecht University,60.4,42.8,53.2,85.7,59.3,58.1,"30,779",15.4,0.07,2012
69,University of Göttingen,60.3,51.4,50.9,84.1,32.7,48,"25,581",25.6,0.12,2012
70,Vanderbilt University,59.6,52.1,47.6,86.8,64.4,26.8,"12,161",3.6,0.10,2012
71,Tsinghua University,59.5,74.1,70.1,37.4,99.8,33.4,"39,763",13.7,0.10,2012
72,Rice University,59,45.9,38,99.9,36.2,39.7,"6,333",9,0.26,2012
73,Heidelberg University,58.7,57.1,41.5,78.5,37.6,62.3,"28,881",24.5,0.17,2012
74,The University of Queensland,58.6,47.5,52.3,70.2,62.6,80.8,"34,718",32.7,0.27,2012
75,Emory University,57.4,48.4,39.8,90.9,34.4,37.3,"12,338",4.5,0.18,2012
76,Wageningen University and Research Center,57.4,50.1,47.6,66.3,100,75.9,"9,248",17,0.21,2012
77,Tufts University,57.3,45.8,37.4,94.5,35.4,41.3,"10,410",10,0.14,2012
78,University of Colorado Boulder,57.3,39.5,42.6,98.2,-,30.8,"29,325",16.1,0.08,2012
79,Leiden University,57,45.4,55.3,71.7,48.6,54.4,"21,222",17.1,0.10,2012
80,Lund University,56.9,40.4,58.5,72.8,32.6,61.2,"28,251",11.5,0.15,2012
81,"Rutgers, the State University of New Jersey",56.8,51.6,60,69,-,25.3,"37,032",17.3,0.08,2012
82,University of Rochester,56.8,47,33.5,94.5,36.4,45.7,"9,390",4.5,0.26,2012
83,Durham University,56.4,32.5,37.9,96.2,30.5,75.8,"15,489",15.7,0.24,2012
84,Pierre and Marie Curie University,56,56.3,30.5,81.1,26.2,66.7,"27,862",8.7,0.18,2012
85,University of St Andrews,55.7,37.1,40.2,83,34.1,89.1,"8,338",12.7,0.47,2012
86,"University of California, Irvine",55.4,36.2,42.3,93.5,45.6,36.3,"26,614",16.1,0.16,2012
87,Uppsala University,55.2,47.2,65.1,53.3,43.4,59.1,"25,266",18.2,0.12,2012
88,Technical University of Munich,55.1,50,37.1,76.3,47.2,65.2,"35,565",31.5,0.20,2012
89,University of Notre Dame,55,42.6,36.2,94.1,27.3,33.1,"11,829",13.8,0.10,2012
90,Dartmouth College,54.9,44.8,38.7,89.9,-,30.6,"6,178",6.6,0.16,2012
91,University of Helsinki,54.8,39.3,54.2,75.1,28.9,46.8,"23,505",15.1,0.06,2012
92,University of Amsterdam,54.7,41.7,54.7,68.3,42.5,56.4,"24,570",14.4,0.11,2012
93,Case Western Reserve University,54.6,54.2,40.2,78.4,-,29.9,"9,259",6.4,0.17,2012
94,Korea Advanced Institute of Science and Technology (KAIST),54.5,64.2,54.6,47.1,100,29.3,"9,027",10,0.09,2012
95,"University of Maryland, College Park",54.5,41.1,43.6,85.8,28.5,35.3,"31,331",8.4,0.09,2012
96,Michigan State University,54.4,47.4,49.6,73.6,28,34,"44,750",15.7,0.15,2012
97,University of Arizona,54.2,45.1,43,78.3,86,28.4,"36,429",12.7,0.08,2012
98,Purdue University,54,56.6,49.4,57.8,-,52.6,"39,256",18.1,0.22,2012
99,University of Sussex,53.9,30.6,34.8,92,28.1,79.8,"12,001",17.4,0.35,2012
100,University of Alberta,53.7,50.6,54.4,51.7,53.7,71.9,"36,299",21.6,0.23,2012
101,University of Sheffield,53.6,44.6,46,67.5,40.2,68.2,"23,311",15.5,0.31,2012
102,University of Glasgow,53.4,37.5,41,77.5,61.4,68.1,"22,616",16,0.29,2012
103,University of Cape Town,53.2,34.3,41.1,75.3,97.5,73.9,"20,040",12.1,0.18,2012
104,Delft University of Technology,53.1,53.5,66.1,31.2,100,71.3,"15,920",19.4,0.25,2012
105,University of Montreal,53.1,54.5,47,48.7,81.3,79.5,"38,264",20.3,0.25,2012
106,Ghent University,53,41.1,52.2,63.4,97.8,47.3,"32,166",34.1,0.09,2012
107,"Royal Holloway, University of London",52.9,28.6,24.1,98.2,25.9,93.3,"8,747",15.9,0.37,2012
108,Tokyo Institute of Technology,52.8,56,58.9,49.5,66.3,24.9,"9,586",7.3,0.13,2012
109,Humboldt University of Berlin,52.6,51.3,54.5,50.1,-,64.5,"29,987",52.5,0.16,2012
110,"University of California, Santa Cruz",52.5,28.5,36.6,99.9,29.5,29.8,"17,404",22.7,0.01,2012
111,University of Basel,52.2,38.9,21.9,86,48.6,92.4,"12,551",17.3,0.24,2012
112,University of Bern,52.1,43,34.6,73.5,38.2,77.6,"14,708",22.5,0.14,2012
113,University of Utah,51.9,42.1,41,82.3,-,23.3,"25,674",16.9,0.09,2012
114,Stony Brook University,51.4,37.7,28.7,88.3,29.2,56.5,"21,908",10.9,0.24,2012
115,Eindhoven University of Technology,51.3,35.6,48,62.1,100,67.3,"8,176",16,0.14,2012
116,University of Lausanne,51.2,27.5,40.4,77.8,40.3,86.7,"11,964",13.1,0.22,2012
117,Monash University,51.1,40.5,48.5,57.1,62.2,75.8,"50,882",40.5,0.36,2012
118,Trinity College Dublin,51.1,30.3,23.5,91.7,29.7,89.4,"15,521",18,0.25,2012
119,Osaka University,51,61.8,56.5,40,75,21.1,"23,144",7.8,0.09,2012
120,Tohoku University,50.8,57.7,55.7,42.9,78.9,25.6,"17,200",5,0.07,2012
