rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,835",10.7,0.42,95.7,91,99.6,98,74.4,96.3,2022
2,California Institute of Technology,"2,233",6.3,0.34,95,93.6,96.9,97.8,90.4,83.8,2022
3,Harvard University,"21,574",9.5,0.24,95,94.5,98.9,99.2,48.9,79.8,2022
4,Stanford University,"16,319",7.3,0.23,94.9,92.3,96.8,99.9,91,79.7,2022
5,University of Cambridge,"19,680",11.1,0.39,94.6,90.9,99.5,96.2,56.7,95.8,2022
6,Massachusetts Institute of Technology,"11,459",8.4,0.33,94.6,90.9,94.4,99.7,93.7,89.9,2022
7,Princeton University,"7,753",7.5,0.23,93.6,89.5,96,99,88.8,80.7,2022
8,"University of California, Berkeley","40,306",18.9,0.23,92.2,85.7,96,99.1,84.7,77.6,2022
9,Yale University,"13,317",5.9,0.21,90.8,90.7,93,97,56.2,69.9,2022
10,The University of Chicago,"14,895",6.1,0.33,89.8,87.2,90.6,98.3,56.3,74.4,2022
11,Columbia University,"21,608",4.6,0.35,89.6,87.8,89.6,97.3,48,79.8,2022
12,Imperial College London,"17,715",11.2,0.59,89.3,81.4,88.3,97.6,70.8,97.5,2022
13,Johns Hopkins University,"16,552",4.3,0.28,88.4,80,90.8,97.2,93.7,74.6,2022
14,University of Pennsylvania,"21,211",6.4,0.22,88.4,84.5,89.2,97.1,77.6,69.7,2022
15,ETH Zurich,"20,428",14.4,0.41,88.2,81.3,92.4,90.7,62.5,97.9,2022
16,Peking University,"31,606",10.2,0.19,87.5,91.4,94.6,81.7,93.1,65.1,2022
17,Tsinghua University,"38,221",11.5,0.13,87.5,88.1,95.7,86.8,100,50.6,2022
18,University of Toronto,"75,821",25.5,0.25,87.2,77.6,93,92.6,61.2,89.1,2022
19,UCL,"35,760",10.6,0.57,87.2,76.8,88.9,96.9,44.7,96.7,2022
20,"University of California, Los Angeles","42,054",10,0.17,86.7,82.1,89.8,96,56.5,65.1,2022
21,National University of Singapore,"31,819",18.8,0.25,85.2,76.3,90.6,87.3,75.4,94.4,2022
22,Cornell University,"23,600",10.3,0.25,85,78.6,85.4,97.2,38.3,75.4,2022
23,Duke University,"15,785",4.2,0.22,83.5,79.2,78.6,95.6,99,66.6,2022
24,University of Michigan-Ann Arbor,"44,663",8.1,0.17,83.1,78.6,85.4,94,48.9,59.5,2022
25,Northwestern University,"18,735",13,0.19,83.1,74.3,82.1,97.6,81.6,65.3,2022
26,New York University,"45,424",11,0.35,82.4,75.4,83.1,94.7,41.4,72.3,2022
27,London School of Economics and Political Science,"10,910",12.1,0.72,80.8,68,80.8,94.4,35.8,92.7,2022
28,Carnegie Mellon University,"14,163",13.5,0.47,80.6,64.7,80,99,59,80.8,2022
29,University of Washington,"52,059",11.6,0.17,79.8,68.8,78.8,99,46.3,61.7,2022
30,University of Edinburgh,"31,630",12.1,0.44,78.9,66.1,74.2,95.6,40.2,95.2,2022
31,University of Hong Kong,"18,037",18.3,0.43,78.9,66.2,72.2,95,58.5,98.8,2022
32,LMU Munich,"34,274",33.7,0.18,78.6,68.1,77.9,90.3,100,69.1,2022
33,University of Melbourne,"52,098",26.5,0.50,77.8,67.5,73.8,88.4,74.9,94,2022
34,"University of California, San Diego","36,256",12.2,0.29,77.7,60.5,75.6,97.9,96.6,68.1,2022
35,King’s College London,"28,250",12,0.49,76,57.6,71.2,96.9,43.7,95.9,2022
36,The University of Tokyo,"25,959",10.6,0.14,76,86.9,90.3,58.2,88.1,42,2022
37,University of British Columbia,"54,744",18.9,0.33,75.8,61.6,74,89.4,47.4,94.9,2022
38,Technical University of Munich,"32,672",38.7,0.33,75.6,64.5,74.8,85.5,100,76.1,2022
39,Karolinska Institute,"7,937",9.6,0.24,74.3,55.1,71,94.2,70.5,86.2,2022
40,École Polytechnique Fédérale de Lausanne,"11,266",12.3,0.62,74.1,63.8,67,85.5,74.9,98.3,2022
41,Paris Sciences et Lettres – PSL Research University Paris,"20,547",15.1,0.25,74.1,69.1,71.2,80.1,78.7,80.5,2022
42,Universität Heidelberg,"19,530",13.9,0.19,73.6,67.9,59.9,95.5,54.2,69.6,2022
43,KU Leuven,"46,327",36.3,0.16,73.6,59.1,73.2,86.2,99.2,74.2,2022
44,McGill University,"31,581",12.6,0.32,73.4,63.3,70.9,83.9,45.3,91.5,2022
45,Georgia Institute of Technology,"27,838",25.7,0.25,73.3,58.2,69.4,91.4,71.4,77.7,2022
46,"Nanyang Technological University, Singapore","23,951",14.7,0.24,73,57.2,70.3,85.1,87,93.9,2022
47,University of Texas at Austin,"49,845",16.7,0.10,72.9,67.9,71.5,89.4,50.1,39.8,2022
48,University of Illinois at Urbana-Champaign,"47,202",18.3,0.23,72.6,65.7,77.3,80.9,50,55.4,2022
49,Chinese University of Hong Kong,"18,478",19.1,0.25,71.3,55.1,58.6,95,60.2,95,2022
50,University of Manchester,"36,545",14.3,0.43,71.2,56.4,65,89.1,45.6,92.4,2022
51,Washington University in St Louis,"14,243",7.9,0.22,70.7,60.5,57.5,98.5,44.9,62.1,2022
52,University of North Carolina at Chapel Hill,"31,064",8.1,0.08,70.6,62.2,63.4,95.6,45,41.1,2022
53,Wageningen University & Research,"14,871",20.2,0.27,70.1,50.1,58.1,95.6,100,86.4,2022
