rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,410",11.2,0.38,94.3,86.7,99.5,99.1,63.7,95,2018
2,University of Cambridge,"18,390",10.9,0.35,93.2,87.8,97.8,97.5,51.5,93,2018
3,California Institute of Technology,"2,209",6.5,0.27,93,90.3,97.5,99.5,92.6,59.7,2018
4,Stanford University,"15,845",7.5,0.22,93,89.1,96.7,99.9,60.5,77.6,2018
5,Massachusetts Institute of Technology,"11,177",8.7,0.34,92.5,87.3,91.9,100,88.4,87.6,2018
6,Harvard University,"20,326",8.9,0.26,91.8,84.2,98.4,99.7,46.4,79.7,2018
7,Princeton University,"7,955",8.3,0.24,91.1,85.7,93.9,99.6,58,78.7,2018
8,Imperial College London,"15,855",11.4,0.55,89.2,81.7,88.7,96.7,71.6,96.6,2018
9,The University of Chicago,"13,525",6.2,0.25,88.6,85.3,90.1,99.4,39.8,69.6,2018
10,ETH Zurich,"19,233",14.6,0.38,87.7,76.4,92,94.3,60.3,98.1,2018
11,University of Pennsylvania,"20,361",6.5,0.20,87.7,83.7,90.1,98.5,56.9,61.3,2018
12,Yale University,"12,155",4.3,0.21,87.6,86.7,87,98.4,45.1,64.6,2018
13,Johns Hopkins University,"15,498",4.3,0.24,86.5,76.1,88.1,98.4,95.8,70.6,2018
14,Columbia University,"26,587",6.1,0.32,86,82.2,83.3,98.8,41.3,76.6,2018
15,"University of California, Los Angeles","39,279",9.6,0.17,85.7,80.7,88.1,97.9,48.6,59.5,2018
16,UCL,"30,305",10.5,0.49,85.3,74.4,88.2,94.6,41.2,94.6,2018
17,Duke University,"15,256",4.5,0.22,85.1,80.7,80.6,98.3,100,62.5,2018
18,"University of California, Berkeley","36,182",13.1,0.17,84.3,77.4,84.5,99.8,37.5,64.5,2018
19,Cornell University,"21,850",9.8,0.24,84.2,76.2,86.6,97.6,34.6,69.2,2018
20,Northwestern University,"17,466",12.8,0.18,83.3,72.6,86.7,96.9,78.2,59.2,2018
21,University of Michigan-Ann Arbor,"41,818",8.6,0.16,83.1,77.2,86.3,95.7,46.2,55.8,2018
22,National University of Singapore,"30,602",17,0.30,82.8,77.4,88.2,81.3,61.9,95.8,2018
23,University of Toronto,"69,427",18.7,0.17,82.8,74.6,84.8,92.6,46.5,80.1,2018
24,Carnegie Mellon University,"12,676",13.5,0.45,81.9,65.8,83.7,99.7,50.4,79.1,2018
25,London School of Economics and Political Science,"10,065",12.1,0.71,79.4,71.8,72,94.9,33.7,92.2,2018
26,University of Washington,"44,945",11.4,0.16,79.4,67.9,79.9,99,47.3,56.5,2018
27,University of Edinburgh,"26,760",12.4,0.40,79.2,66.8,74.2,97,36.3,92,2018
28,New York University,"43,860",9.6,0.26,79.2,73.7,77.4,96.5,37,53.4,2018
29,Peking University,"42,136",8.9,0.16,79.2,83,85.1,74.2,100,53,2018
30,Tsinghua University,"42,089",13.7,0.09,79,80.2,93.2,71.4,99.8,41,2018
31,"University of California, San Diego","29,633",12.8,0.17,78.7,62.9,79.8,98.6,96.5,51.9,2018
32,University of Melbourne,"42,116",26.6,0.40,77.5,64.9,74.2,90.3,70.1,92.7,2018
33,Georgia Institute of Technology,"20,773",20.7,0.27,77,59.7,78.9,94.3,60.2,75,2018
34,University of British Columbia,"51,889",18.1,0.29,76.2,61.8,72.2,93.4,42.6,92.2,2018
35,LMU Munich,"36,091",15.6,0.15,76.2,65.4,72.3,91.3,100,66.3,2018
36,King’s College London,"23,205",12,0.41,75.6,59.3,71.2,94.4,43.9,94.5,2018
37,University of Illinois at Urbana-Champaign,"43,402",22.8,0.23,75.4,65.8,78.9,88.9,56,52.8,2018
38,École Polytechnique Fédérale de Lausanne,"9,928",11.2,0.55,75.3,58.8,66.8,94.2,76,98.7,2018
