rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
81,The University of Queensland,59.1,51.8,53.4,69,57.1,74.2,"34,718",32.7,0.27,2011
82,University of York,59.1,47.9,46.2,81.9,36.2,66.6,,,,2011
83,Heidelberg University,59,59.2,47.5,70.3,39.1,63.4,"28,881",24.5,0.17,2011
84,University of Utah,59,55.8,54.2,72,-,22.5,"25,674",16.9,0.09,2011
85,Durham University,58.9,39.8,44.1,91,33.9,65.7,"15,489",15.7,0.24,2011
86,London School of Economics and Political Science,58.3,62.4,56.2,51.6,38.4,99.5,,,,2011
87,University of Manchester,58,56.5,56.2,59.2,39,79.1,"34,938",15.3,0.34,2011
88,"Royal Holloway, University of London",57.9,37.7,36.2,93.2,30.5,92.9,"8,747",15.9,0.37,2011
89,Lund University,57.8,46.3,60.8,67.6,33.2,56.8,"28,251",11.5,0.15,2011
90,University of Southampton,57.7,50.8,47.8,72.9,37.7,69,"20,925",13.5,0.29,2011
91,University of Zurich,57.7,56.6,47,65,43.8,87.9,"26,583",6.5,0.19,2011
92,Wake Forest University,57.7,54.6,42.9,79.2,-,24.4,"7,326",4.6,0.05,2011
93,McMaster University,57.6,44.7,58.7,68.5,-,-,"23,823",19.3,0.15,2011
94,University College Dublin,57.5,42.4,36.6,86.3,-,87,"22,193",24.5,0.23,2011
95,George Washington University,57.3,60.6,43.1,70.2,-,39.6,"20,541",12,0.16,2011
96,University of Arizona,57.3,52.4,52.2,70.1,84.2,21.9,"36,429",12.7,0.08,2011
97,University of Basel,57.3,50.2,37.1,78.3,45.8,91.3,"12,551",17.3,0.24,2011
98,"University of Maryland, College Park",57.2,45.4,48.6,79.2,-,35.4,"31,331",8.4,0.09,2011
99,Dartmouth College,57.1,44.7,49.2,79.7,-,31,"6,178",6.6,0.16,2011
100,École Normale Supérieure de Lyon,57,51.1,34.4,88.8,26.1,37.6,"2,218",8,0.14,2011
101,Technical University of Munich,56.9,50.4,43.2,71.2,-,85.3,"35,565",31.5,0.20,2011
102,University of Helsinki,56.6,49,51.4,75.4,30.2,24.2,"23,505",15.1,0.06,2011
103,University of St Andrews,56.5,44.8,47.7,72.9,32.6,85.7,"8,338",12.7,0.47,2011
104,Rensselaer Polytechnic Institute,56.4,50.5,54.6,64.9,-,48,"6,671",15,0.16,2011
105,"Rutgers, the State University of New Jersey",56.3,53.4,64.7,55.7,-,26.8,"37,032",17.3,0.08,2011
106,Purdue University,56.2,57,67.8,43.9,-,62.6,"39,256",18.1,0.22,2011
107,National Tsing Hua University,56.1,52.2,52.6,66.9,50.2,34.1,"10,221",13.5,0.05,2011
108,University of Cape Town,56.1,36.6,42.1,82.8,-,83.3,"20,040",12.1,0.18,2011
109,Pennsylvania State University,56,46.3,49.2,77.6,44,19.9,"44,501",12.4,0.12,2011
110,Seoul National University,56,62.3,54.1,54.6,43,44.9,"26,389",13.9,0.10,2011
111,Hong Kong Baptist University,55.6,32.9,32.5,97.6,26.7,71.8,"10,441",11,0.25,2011
112,Bilkent University,55.4,34.3,36.1,95.7,32.4,47.7,,,,2011
113,Tokyo Institute of Technology,55.4,62.9,63.4,45.5,60.5,24.8,"9,586",7.3,0.13,2011
114,Eindhoven University of Technology,55.3,55.4,51.7,56.9,99.8,44.9,"8,176",16,0.14,2011
115,National Taiwan University,55.2,50.3,59,61.6,35.7,29.2,"31,891",11.9,0.07,2011
116,University of Hawai’i at Mānoa,55.2,38.3,47.6,81,-,34.2,,,,2011
117,"University of California, Riverside",55.1,38.6,47.4,78.3,30.5,63,"20,626",22,0.12,2011
118,University of Geneva,55,46.6,49.7,63.1,32.7,95.7,"15,668",15,0.39,2011
119,KU Leuven,54.8,57.7,62.9,45.2,97.7,29.6,"42,503",41.9,0.18,2011
120,Nanjing University,54.6,52.2,46.2,66,43.4,50.2,"29,743",13.3,0.10,2011
121,Queen Mary University of London,54.6,39.7,44.1,73.5,38.9,91,"14,260",14,0.40,2011
122,Michigan State University,54.5,50.4,52.7,63.7,-,30.4,"44,750",15.7,0.15,2011
123,Technical University of Denmark,54.5,46.2,46.9,64.6,95.5,64,"9,990",5,0.18,2011
124,Ghent University,54.4,52.8,59.1,52.8,97.1,24.7,"32,166",34.1,0.09,2011
125,Lancaster University,54.4,43.5,41.9,74.9,28.8,73.8,"11,512",14.9,0.33,2011
126,Leiden University,54.4,47.3,54.9,59.3,100,40,"21,222",17.1,0.10,2011
127,University of Alberta,54.3,53.7,58,49.7,44.5,71.6,"36,299",21.6,0.23,2011
128,University of Glasgow,54.2,45.6,50.3,65.1,61,55.1,"22,616",16,0.29,2011
129,Stockholm University,54,36.9,49.2,75.9,31.7,-,"31,715",23.7,0.08,2011
130,Osaka University,53.4,61.7,63.4,40,73.4,20.1,"23,144",7.8,0.09,2011
131,University of Victoria,53.4,32.9,48.3,79.1,27.4,-,"17,581",21.5,0.11,2011
132,Tohoku University,53.3,60.3,62.5,41.2,82.3,20.1,"17,200",5,0.07,2011
133,University of Freiburg,53.3,52.4,41.4,64.3,79.8,46.2,"26,467",31.2,0.16,2011
134,University of Iowa,53.3,48.6,59.8,54.8,-,31.7,"27,526",11.6,0.11,2011
135,University of Bergen,52.7,39.9,42.1,73.1,41.5,66.6,"11,623",11.1,0.12,2011
136,University of Lausanne,52.6,43.1,50.5,59.1,42.5,84.1,"11,964",13.1,0.22,2011
137,University of Sheffield,52.5,48.9,49.2,58.4,40.3,62.7,"23,311",15.5,0.31,2011
138,University of Montreal,52.4,56.1,49.4,51.9,-,-,"38,264",20.3,0.25,2011
139,VU University Amsterdam,52.3,47.6,51.6,58.5,81.4,30.6,"23,280",16.3,0.06,2011
140,Pierre and Marie Curie University,52.2,51.9,37.2,71.5,26.4,30.7,"27,862",8.7,0.18,2011
141,University of Dundee,52.2,34.1,41,79.3,49.3,54.4,"11,628",15.3,0.25,2011
142,University of Barcelona,52.1,34.1,33.7,91.9,30,22.3,"47,491",12.2,0.10,2011
143,Utrecht University,52,43.4,53,58.8,55.3,52.6,"30,779",15.4,0.07,2011
144,Wageningen University and Research Center,51.9,58.5,48.8,53,-,24.3,"9,248",17,0.21,2011
145,University of Auckland,51.8,34.8,39.2,71.8,61.1,94.3,"29,787",18.9,0.28,2011
146,University of Birmingham,51.8,50.3,50.7,52.1,34.8,73.8,"25,295",16.4,0.23,2011
147,Alexandria University,51.6,29.5,28,99.8,36,19.3,"127,431",23.3,0.01,2011
148,Uppsala University,51.6,49.6,62.2,40.7,39.5,77.9,"25,266",18.2,0.12,2011
149,Hong Kong Polytechnic University,51.4,39.4,45.7,62.4,57.2,82.9,"22,064",25.9,0.26,2011
150,University of Aberdeen,51.4,37.8,45.2,64.6,47,86.1,"12,938",15.8,0.33,2011
151,Delft University of Technology,51.3,55.5,67.7,29,99.4,47.4,"15,920",19.4,0.25,2011
152,"Birkbeck, University of London",51.2,41.2,35.8,70.6,27.4,88.5,"9,454",17.2,0.38,2011
153,Newcastle University,51.2,42.7,42.8,63.6,31.1,80.5,"20,174",15.2,0.29,2011
154,University of New South Wales,51.2,49.5,48.9,51.2,60,70.7,"38,309",25.9,0.33,2011
155,Pompeu Fabra University,51.1,35,33,84.7,40,44.1,"10,901",18.3,0.13,2011
156,Indiana University,51,48.5,42.5,63.2,-,37.7,"62,468",13.6,0.13,2011
157,Iowa State University,51,49.3,49.6,58.2,49.6,23.2,"29,991",17.4,0.11,2011
158,Georgia Health Sciences University,50.7,67.3,41.7,48.9,50.1,16.3,,,,2011
159,Erasmus University Rotterdam,50.4,39.4,43.6,65.5,-,58.6,"20,580",18.9,0.18,2011
160,University of Delaware,50.4,38.4,51.9,61.3,100,16.8,"19,262",15.9,0.10,2011
161,Arizona State University,50.3,43,44.1,66.9,-,24.1,"83,236",29.9,0.09,2011
162,Boston College,50.3,40.1,33.6,78,-,31.6,"13,216",17.4,0.19,2011
163,National Sun Yat-Sen University,50.2,46.1,50.6,58.9,37.5,21.3,"9,336",19.6,0.04,2011
164,Georgetown University,50.1,65.1,44.7,45,-,24.7,"15,408",8.5,0.14,2011
165,University of Amsterdam,50,42.5,49.2,60.2,38.8,38.2,"24,570",14.4,0.11,2011
166,University of Liverpool,50,40.8,47.8,59.6,40.6,59.8,"18,815",13.6,0.30,2011
167,Aarhus University,49.9,38.1,55.6,57.3,61.5,33.4,"23,895",13.6,0.14,2011
168,University of Leeds,49.8,46.2,48,55.6,38.3,50,"27,703",14.7,0.21,2011
169,University of Würzburg,49.8,48.7,40.9,60.4,-,40.3,"26,576",38.4,0.08,2011
170,University of Groningen,49.7,41.7,56.4,54.1,34.2,35.5,"24,556",25.6,0.12,2011
171,Sun Yat-sen University,49.6,46.2,34.7,70.2,41.2,29.3,"51,351",16.6,0.08,2011
172,Goethe University Frankfurt,49.4,39.2,37.3,69.5,41.6,56.1,"31,861",9.3,0.15,2011
173,Bielefeld University,49.3,39.9,35.7,70.4,-,-,"21,428",67.8,0.08,2011
174,Nanyang Technological University,49,43.6,51.7,45,40,96.3,"25,028",16.2,0.33,2011
175,University of East Anglia,49,42.1,40.4,62.8,29.7,62.8,"14,992",14.7,0.28,2011
176,University of Nottingham,49,46.8,44.1,52.5,38.4,74.8,"30,144",15,0.27,2011
177,University of Copenhagen,48.8,44.1,45.7,58.3,26.1,45.8,"27,545",4.1,0.19,2011
178,Humboldt University of Berlin,48.5,50.9,44.5,52,27.8,46.1,"29,987",52.5,0.16,2011
179,Monash University,48.5,39.4,38.8,60.5,40.8,87.1,"50,882",40.5,0.36,2011
180,University of Bonn,48.5,46.8,33.8,65.3,29.4,46.8,"32,474",70.4,0.13,2011
181,National Chiao Tung University,48.3,53.2,54.4,32.9,98.7,57.9,"12,646",16.6,0.05,2011
182,RWTH Aachen University,48.2,50,42.5,48.9,56.6,63.8,"37,917",27.6,0.16,2011
183,Middle East Technical University,47.7,39.5,39.5,66.4,43.9,27.2,"25,779",22.2,0.07,2011
184,University of Exeter,47.6,40.4,42.5,57.9,32.2,62.8,"17,755",18.8,0.28,2011
185,University of Twente,47.5,49.9,48.3,42,49.8,62.4,"6,631",12,0.26,2011
186,University of Konstanz,47.3,42.7,40.1,51.3,-,93.6,"10,930",59.1,0.12,2011
187,Karlsruhe Institute of Technology,47.2,45,35.4,60.7,40,47.3,"25,294",24.6,0.16,2011
188,University of Innsbruck,47.2,37.9,34.8,60.2,35,99.5,"18,209",16.9,0.39,2011
189,University of Tübingen,47,45.9,36.3,57.3,32.3,57.8,"28,327",38.9,0.12,2011
190,Drexel University,46.9,45,35.9,58.2,27.4,60.6,"20,713",10.8,0.18,2011
191,University of Cincinnati,46.9,43.6,40.4,61.5,32.5,18.9,"36,108",15.7,0.06,2011
192,Yonsei University,46.9,43,48.7,52.2,40.4,28,"24,774",11.6,0.14,2011
193,Dalhousie University,46.8,41.6,50.2,48.8,-,44.9,"15,064",14.4,0.18,2011
194,KTH Royal Institute of Technology,46.8,49.1,56.2,29.2,100,64.2,"12,062",14.6,0.21,2011
195,University of Vienna,46.7,47.6,45.7,45.6,27,63.2,"34,651",20.5,0.25,2011
196,Kent State University,46.5,33.5,33.3,76.8,26.3,15.9,"23,122",19,0.08,2011
197,University of Illinois at Chicago,46.4,57.8,46.8,34.7,-,51.8,"24,313",9.2,0.17,2011
198,Zhejiang University,46.4,54.6,41.3,44.3,70.3,29.6,"47,508",15.9,0.05,2011
199,Simon Fraser University,46.2,32.9,44.2,60.2,37.9,51.9,"26,640",28.3,0.19,2011
200,Swedish University of Agricultural Sciences,46.2,43.3,49.5,41.7,99.9,-,"3,879",4.6,,2011
