rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
1,University of Oxford,"20,300",11,0.40,96,91.8,99.5,99.1,67,96.3,2019
2,University of Cambridge,"18,750",10.9,0.37,94.8,92.1,98.8,97.1,52.9,94.3,2019
3,Stanford University,"15,878",7.4,0.23,94.7,93.6,96.8,99.9,64.6,79.3,2019
4,Massachusetts Institute of Technology,"11,231",8.7,0.34,94.2,91.9,92.7,99.9,87.6,89,2019
5,California Institute of Technology,"2,255",6.5,0.29,94.1,94.5,97.2,99.2,88.2,62.3,2019
6,Harvard University,"20,595",9.1,0.26,93.6,90.1,98.4,99.6,48.7,79.7,2019
7,Princeton University,"7,996",8.2,0.24,92.3,89.9,93.6,99.4,57.3,80.1,2019
8,Yale University,"12,318",5.2,0.20,91.3,91.6,93.5,97.8,51.5,68.3,2019
9,Imperial College London,"16,425",11.6,0.56,90.3,85.8,87.7,97.8,67.3,97.1,2019
10,The University of Chicago,"13,562",6.1,0.25,90.2,90.2,90.1,99,41.4,70.9,2019
11,ETH Zurich,"18,171",12.3,0.39,89.3,83.3,91.4,93.8,56.1,98.2,2019
12,Johns Hopkins University,"16,146",4.6,0.25,89,81.9,90.5,98.5,95.5,71.9,2019
13,University of Pennsylvania,"20,443",6.4,0.20,89,87.4,89.2,98.4,70.3,63.6,2019
14,UCL,"31,695",10.6,0.51,87.8,79.1,90.1,95.9,42.4,95.8,2019
15,"University of California, Berkeley","36,468",13.2,0.17,87.7,78.7,92.3,99.7,49.3,69.8,2019
16,Columbia University,"26,586",6,0.37,87.2,85.4,83.1,98.8,44.8,79,2019
17,"University of California, Los Angeles","39,464",9.2,0.17,86.4,82.6,87.9,97.8,49.4,62.1,2019
18,Duke University,"15,037",4.4,0.18,85.4,84.1,78.8,98.2,100,61,2019
19,Cornell University,"21,904",9.8,0.25,85.1,79.7,85.4,97.4,36.9,71.8,2019
20,University of Michigan-Ann Arbor,"41,831",8.3,0.17,84.1,80,85.9,96,45.9,58,2019
21,University of Toronto,"72,202",19,0.19,84,75.8,86.3,92.8,50.3,82.8,2019
22,Tsinghua University,"36,912",11.9,0.11,82.9,87.7,94.1,74.8,99.8,45.8,2019
23,National University of Singapore,"30,727",17.4,0.28,82.4,77.3,88.8,78.9,67.6,95.5,2019
24,Carnegie Mellon University,"13,033",13.3,0.47,82,69,81.2,99.3,48.1,79.4,2019
25,Northwestern University,"17,600",13,0.19,81.7,69,83.6,97.8,75.8,63,2019
26,London School of Economics and Political Science,"10,030",11.8,0.70,81.3,71,83.1,91,34.8,92.5,2019
27,New York University,"44,433",8.9,0.32,81,77.7,76.1,96.6,38.9,65,2019
28,University of Washington,"45,476",11.3,0.16,80.4,70.7,79.7,98.9,47.6,59.3,2019
29,University of Edinburgh,"28,155",12.7,0.41,79.8,69.2,73.7,96.8,38.2,93.3,2019
30,"University of California, San Diego","31,687",12.9,0.20,79.7,65.4,79.2,98.2,96,59.9,2019
31,Peking University,"42,547",8.9,0.17,79.3,88.8,80.4,76.7,48.3,57.5,2019
32,LMU Munich,"35,389",36,0.16,78.3,69.9,76.1,90.2,100,65.6,2019
33,University of Melbourne,"45,030",26.6,0.42,78.3,68,73.4,90.3,74,93.1,2019
34,Georgia Institute of Technology,"21,903",21.5,0.27,77.5,62.5,76.1,95.1,62.2,77.1,2019
35,École Polytechnique Fédérale de Lausanne,"10,343",11.4,0.57,76.9,66.5,66.5,92.8,69.1,98.7,2019
36,University of Hong Kong,"18,122",18.1,0.43,76.3,72.6,78.4,73.7,56.5,99.7,2019
37,University of British Columbia,"53,566",18.6,0.30,76,60.8,72.6,92.8,42.9,93.9,2019
38,King’s College London,"24,295",12.1,0.42,75.8,61.1,68.7,95.2,45.9,95.3,2019
39,University of Texas at Austin,"48,561",17.1,0.10,75.4,68.8,74.2,94.8,48.7,38,2019
40,Karolinska Institute,"7,898",9.2,0.19,74.9,56.1,72.1,96.2,68.6,77.5,2019
41,The Hong Kong University of Science and Technology,"10,394",23.6,0.31,74.5,56.8,67.6,93.9,65.8,98,2019
42,Paris Sciences et Lettres – PSL Research University Paris,"20,722",11.3,0.26,74.4,74.3,67.8,82.2,49.8,78.3,2019
43,The University of Tokyo,"25,828",7.6,0.11,74.1,84,87.2,61.3,67.2,35.9,2019
44,University of Wisconsin-Madison,"39,193",10.5,0.12,73.9,70.3,71,89.9,46.8,45.6,2019
45,McGill University,"31,060",13,0.28,73.7,64.1,69.4,86.3,42.3,89.4,2019
46,Technical University of Munich,"39,726",50.6,0.24,73.7,62.9,68.6,88.3,100,70.5,2019
47,Universität Heidelberg,"20,953",16.6,0.17,73.2,68.1,59,95.9,55.6,65.7,2019
48,KU Leuven,"44,719",36.5,0.15,72.6,56.9,70.4,88.9,99.9,70.1,2019
49,Australian National University,"16,840",18.5,0.39,72.4,55.5,70.6,87.3,49.1,95,2019
50,University of Illinois at Urbana-Champaign,"43,908",17.9,0.24,72.3,63.2,73.5,86.7,49.4,53.5,2019
51,"Nanyang Technological University, Singapore","25,738",16.7,0.28,72.2,55.4,65.8,88.6,83.1,95.4,2019
52,"University of California, Santa Barbara","23,457",27.9,0.16,71.5,50.9,65,98.8,83.4,67,2019
53,Brown University,"9,082",10.7,0.21,71.4,67.3,57.3,95.4,36.2,60.4,2019
54,Chinese University of Hong Kong,"17,883",18.4,0.33,71.4,59.3,64.9,84.5,54.1,98.6,2019
55,Washington University in St Louis,"13,074",7.3,0.20,70.9,63.1,56.6,99.1,39.5,56.5,2019
56,University of North Carolina at Chapel Hill,"34,226",9.4,0.08,70,62.2,61.4,96.8,42.4,36.8,2019
57,University of Manchester,"36,530",14.5,0.39,69.9,57.7,62,87.2,45,90.1,2019
58,Delft University of Technology,"17,880",20,0.29,69.2,58.1,71.4,70,99.6,91.6,2019
59,"University of California, Davis","37,847",13.5,0.13,68.5,59.3,63.6,85.6,52.7,61.2,2019
60,The University of Sydney,"43,333",20.5,0.35,68.5,50.2,61.4,89.1,68.1,87.8,2019
61,Wageningen University & Research,"13,214",20.9,0.29,68.5,49.2,53.6,96.8,100,81.7,2019
62,University of Amsterdam,"23,778",12.3,0.12,67.9,50.1,61.9,92.3,42.9,74,2019
63,Seoul National University,"26,066",12.3,0.12,67.5,74.6,71.1,64.2,77.2,35.1,2019
64,Purdue University West Lafayette,"39,409",17,0.23,67.4,61.6,68.6,71.1,64.6,71.8,2019
65,Kyoto University,"22,420",8.8,0.08,67.3,75.9,77.5,55,95.6,31.1,2019
66,University of Southern California,"35,510",11.6,0.25,67,53.2,56.6,93.8,39.2,66.3,2019
67,Humboldt University of Berlin,"33,000",59,0.17,66.9,64.1,65.8,72.6,41.8,67.2,2019
68,Leiden University,"26,321",18,0.13,66.3,46.5,62.4,87.3,74.6,74.1,2019
69,The University of Queensland,"38,187",34.4,0.31,66,47.3,57.4,86.5,70.3,91.7,2019
70,Erasmus University Rotterdam,"22,019",19.6,0.22,65.8,40.6,55.7,97.2,56.8,84.5,2019
71,University of Minnesota,"60,620",12.3,0.11,65.3,56.8,58.7,85.6,79.4,39.4,2019
72,Ohio State University (Main campus),"53,540",12.8,0.12,65.3,56.7,54.9,87.1,52.9,58.3,2019
73,Sorbonne University,"42,681",14.3,0.19,65.1,63.2,53.1,80.6,39,67.3,2019
74,Boston University,"25,095",8.4,0.27,65,56.3,44.8,96.8,36.5,62.3,2019
75,Utrecht University,"31,551",14.3,0.07,65,43.8,61.2,90.7,62.9,63.1,2019
76,University of Freiburg,"22,005",44.5,0.22,64.7,50.5,53.1,85.8,100,71.6,2019
77,McMaster University,"24,602",27.3,0.16,64.4,44,48.2,94.3,93.5,80.5,2019
78,University of Bristol,"20,570",13.2,0.27,64.3,44.8,48.6,96.1,40.5,86.3,2019
79,University of Groningen,"26,183",23.8,0.18,64.1,42.5,54.4,90.7,79.7,77.5,2019
80,University of Warwick,"19,650",13.3,0.41,64.1,48,51.8,87,41.5,93.3,2019
81,Penn State (Main campus),"45,704",15,0.15,63.8,53.2,62.5,81.1,50.8,46.4,2019
82,"University of Maryland, College Park","32,099",16.2,0.10,63.7,47.8,57.7,93.2,38.7,41.2,2019
83,Sungkyunkwan University (SKKU),"23,359",19.5,0.14,63.7,58.4,59.1,74.8,96.9,48.8,2019
84,Emory University,"12,647",4.2,0.20,63.6,56,39.7,98.4,43.6,56.4,2019
85,Monash University,"49,728",34.6,0.35,63.6,46.1,53.7,83.8,74.1,88.7,2019
86,Rice University,"6,554",8.9,0.28,63.5,50.9,40.4,97.9,44.6,75.1,2019
87,RWTH Aachen University,"44,517",61.8,0.19,63.3,56.7,60.7,71.3,98.8,56.2,2019
88,Uppsala University,"25,061",16.9,0.14,63.3,44.3,55.7,87.7,77.3,67.4,2019
89,University of Tübingen,"28,743",39.2,0.14,63.2,50,54.4,84.9,67,62.6,2019
90,Charité - Universitätsmedizin Berlin,"6,943",17.5,0.19,63,47.6,46.1,93.2,87.8,63.1,2019
91,University of Montreal,"37,311",20.3,0.23,63,47.8,50.2,84.6,74.3,85,2019
92,University of Zurich,"26,340",14.7,0.20,63,46.5,46.4,89.6,53.4,91.4,2019
93,University of Science and Technology of China,"16,152",8.4,0.04,62.9,62.3,54.7,77.1,89.2,32.2,2019
94,University of Glasgow,"24,235",15.3,0.36,62.8,41.2,48.3,93.6,40.1,92.3,2019
95,Michigan State University,"44,951",17,0.17,62.8,56.5,54.2,79.8,37.9,62.9,2019
96,"University of California, Irvine","31,089",16.7,0.24,62.7,44.5,47.6,94.6,60.8,69.3,2019
97,UNSW Sydney,"41,358",30.5,0.36,62.7,45,54.1,82.3,52.4,92.6,2019
98,Lund University,"28,454",11.8,0.17,62.5,41.9,53.2,87.4,78,77.3,2019
99,Dartmouth College,"6,172",6.7,0.15,62.4,59.6,38.9,95.9,41.3,40.1,2019
100,University of Helsinki,"22,418",16.6,0.06,62.4,46.2,57.6,87.5,37.4,54.4,2019
101,Zhejiang University,"36,031",10.9,0.18,62.2,69.4,68.4,47.9,100,53.3,2019
102,Korea Advanced Institute of Science and Technology (KAIST),"9,587",10.4,0.09,61.8,61.7,59.3,67.8,99.9,35.7,2019
103,University of Basel,"12,852",18,0.27,61.5,43.1,39.4,90.1,99.4,96.1,2019
104,Free University of Berlin,"35,032",56.4,0.21,61.4,61.3,64.3,57.2,42.4,74,2019
105,Fudan University,"34,393",12.2,0.11,61.4,63.7,57.2,68.9,50.2,42.2,2019
106,University of Sheffield,"25,575",14.9,0.35,61.2,46,46,86.5,43.1,87.2,2019
107,University of Virginia (Main campus),"24,295",9.4,0.12,61,53.8,41.1,92.7,44.1,47.7,2019
108,École Polytechnique,"2,908",5.6,0.36,60.8,58.6,46.6,68.2,70.6,94,2019
109,Georgetown University,"15,801",8.5,0.17,60.7,56,36,93.2,64.6,46.9,2019
110,University of Bern,"10,967",16.7,0.15,60.3,45.1,41.7,85.5,83.1,86.5,2019
111,University of Bonn,"37,708",70.2,0.13,60.3,48.4,40.7,89.9,87.4,59.7,2019
112,City University of Hong Kong,"9,928",11.2,0.41,60.3,43.7,46.3,80.6,63.2,99.8,2019
113,University of Pittsburgh-Pittsburgh campus,"26,517",5.9,0.11,60.3,47.8,44.5,95.9,40.4,38.2,2019
114,University of Colorado Boulder,"31,625",15.5,0.12,59.9,45,43.2,96.5,39.2,46.4,2019
115,Durham University,"16,565",14.8,0.30,59.9,44.7,47,82,37.7,90.9,2019
116,University of Birmingham,"28,355",15.1,0.28,59.7,38.9,43.3,91.5,39.8,88.5,2019
117,University of Copenhagen,"32,157",4.4,0.16,59.7,44.2,39.4,90.8,45.8,83.2,2019
118,University of Southampton,"24,080",13.9,0.36,59.6,39.7,42,90.2,40.7,93.9,2019
119,University of York,"15,195",14.8,0.25,59.3,41.2,45.7,86.4,36.2,84.9,2019
120,Trinity College Dublin,"16,293",21.6,0.28,59.2,43.7,47,79.8,43.4,93.3,2019
121,University of Oslo,"20,552",13.3,0.17,59.1,39.8,44.2,91.2,41.8,73.3,2019
122,Vanderbilt University,"12,038",3.1,0.14,59.1,46.5,39.4,96.6,47,41.9,2019
123,Aarhus University,"26,867",14.8,0.11,59,37,51.4,84.2,63,75.3,2019
124,Arizona State University (Tempe),"46,362",20.8,0.20,59,42.7,47.4,88.7,38.6,58.6,2019
125,University of Göttingen,"30,399",29.6,0.12,59,48.8,48.9,81.2,36.1,59.7,2019
126,University of Mannheim,"10,882",74.8,0.17,59,42.7,51.3,82.5,62.5,60,2019
127,Radboud University Nijmegen,"19,954",17.5,0.15,59,35.2,49.8,88.8,43,76.6,2019
128,Université Catholique de Louvain,"25,952",39.6,0.21,58.9,38.1,51.4,82.1,55.1,79.7,2019
129,Maastricht University,"16,250",15.8,0.52,58.9,38.8,47.1,79.6,79.8,97,2019
130,Queen Mary University of London,"16,435",14,0.44,58.8,31.9,38.9,97.6,43,96.1,2019
131,Technical University of Berlin,"22,472",64.4,0.22,58.7,50,54.1,67.5,94.2,64.4,2019
132,University of Alberta,"31,844",21,0.26,58.5,47.4,48.2,73,59.2,86.6,2019
133,Case Western Reserve University,"10,412",7.8,0.23,58.5,49.2,36.2,93.2,40.8,51.5,2019
134,Nanjing University,"34,580",15.6,0.09,58.4,54.4,47.5,71.7,84,56.1,2019
135,The University of Western Australia,"18,510",21.9,0.26,58.4,33.5,44.5,88.8,55,93.1,2019
136,University of Adelaide,"21,339",30.4,0.27,58.3,32.8,41.2,92.5,61.6,90.9,2019
137,University of Geneva,"16,530",15.2,0.39,58.3,39,44,81.1,65.2,98.5,2019
138,University of Hamburg,"29,584",58.2,0.12,58.3,46.3,47.5,77.9,98.3,58.4,2019
139,Karlsruhe Institute of Technology,"26,593",25.8,0.20,58.3,46.8,47.4,75.7,92.5,67.1,2019
140,Pompeu Fabra University,"11,523",21.3,0.13,58.3,40,39.1,95.7,42.4,64.3,2019
141,University of Exeter,"20,285",18,0.28,57.8,34.3,39.7,93.2,36.3,90.3,2019
142,Pohang University of Science and Technology (POSTECH),"3,238",10.7,0.04,57.7,50.7,47.8,77.4,94.3,34.4,2019
143,Ghent University,"35,835",35.2,0.10,57.6,44.9,47.9,77.6,81.5,58.7,2019
144,University of Vienna,"33,185",19.3,0.27,57.6,53.3,47.6,64.7,35.4,94.4,2019
145,Autonomous University of Barcelona,"32,223",12.8,0.16,57.5,43.9,36.5,92.4,41.3,62.2,2019
146,University of Cologne,"37,483",37.9,0.15,57.3,43.5,41.8,83.7,77.9,61.3,2019
147,Indiana University,"65,707",13.8,0.16,57.3,49.4,45.6,78.6,52.8,52.6,2019
